longitud|latitud
-77.0043185|-12.114787
-77.0481094|-12.0969953
-77.04389619999999|-12.0650417
-77.04647659999999|-12.1034495
-76.98860091805128|-12.09417223039501
-77.06015471525177|-12.08212922739956
-76.99029107368729|-12.036104350500954
-77.02425249531719|-12.083965120151559
-77.04216199999999|-12.0748447
-77.01970109999999|-12.0731337
-77.01979570956686|-12.07314780519125
-76.9987078412794|-12.051333344058273
-77.04591479999999|-12.0317579
-77.04591956808264|-12.031710602982216
-76.98939539999999|-12.0279606
-76.9893850491287|-12.027903518794714
-77.0700547|-12.0684343
-77.07006419843516|-12.068434686527828
-77.0095554|-12.112443899999999
-76.9957364|-12.109631799999999
-76.99698149999999|-12.0476049
-76.97087699550275|-12.110042597514159
-76.9476251|-12.067539199999999
-76.93929469999999|-12.0559233
-77.01470119999999|-11.8747679
-77.01511219999999|-11.8673156
-77.0454067|-11.897561999999999
-77.0803258|-11.8603221
-77.03315669999999|-11.8958406
-77.03317418449099|-11.895869303462296
-77.02491189999999|-11.891011599999999
-77.07565149999999|-11.8679467
-77.0718797|-11.859077500000001
-77.07187476947537|-11.859092992178505
-77.04151809999999|-11.900953699999999
-77.0718419|-11.881887800000001
-77.11107662586838|-11.839522805046117
-77.11861429999999|-11.890427599999999
-77.03427769999999|-11.8949482
-77.03422115227194|-11.894996252187743
-77.0329556|-11.895490899999999
-77.0343446|-11.896256699999999
-77.11802569999999|-11.8734941
-77.11797976080614|-11.873527490312629
-77.03691404143922|-11.9050774182357
-77.1231926|-11.8749337
-77.0803258|-11.8603221
-77.09347869999999|-11.8443328
-77.1275273|-11.872366699999999
-77.123429|-11.874756
-77.07565149999999|-11.8679467
-77.11367517035701|-11.87042817632036
-77.1255633|-11.875952600000002
-77.0718797|-11.859077500000001
-77.07187476947537|-11.859092992178505
-77.0718419|-11.881887800000001
-77.11107662586838|-11.839522805046117
-77.11861429999999|-11.890427599999999
-77.07206640824106|-11.87177079986865
-77.1557827|-11.8156676
-77.11802569999999|-11.8734941
-77.11797976080614|-11.873527490312629
-77.0844616|-11.8477866
-77.0644038|-11.881824499999999
-77.06432763075077|-11.881865818465888
-77.10540619999999|-11.8775423
-77.10540479527859|-11.877539121688118
-77.07992957017228|-11.862365175927325
-77.00798069999999|-12.0149978
-77.00798000583718|-12.01503121448197
-77.0879679|-11.990859100000002
-77.08806277739173|-11.99085393453912
-77.0859424|-11.9970372
-77.07235779999999|-11.954277
-77.07282066454395|-11.965196055865933
-76.98265409999999|-11.9490936
-77.0919906|-11.978765899999999
-77.09200140745145|-11.978756383203743
-77.068343|-11.9962114
-76.96650819999999|-12.0098801
-76.96649481604771|-12.009892823373878
-76.99521612935092|-11.970939587946173
-77.01623360733512|-11.995061504681367
-77.0807918|-11.9962228
-77.08075306773252|-11.995786975219012
-76.9702318|-11.937509799999999
-76.97025474668916|-11.937493657582474
-77.0756332|-12.0122086
-77.07558295176378|-12.012200198769017
-77.05251609999999|-12.005827300000002
-77.05253103550935|-12.005737674461146
-77.09105741955266|-11.997539003741617
-77.0126135|-12.0071429
-77.01262474132024|-12.00714658901652
-77.00801340000001|-11.9808817
-77.0879521|-11.978037899999999
-77.08798997843412|-11.978076892564397
-77.10546289999999|-11.963961999999999
-77.09574865884872|-11.981106734342108
-77.08795897958836|-11.990703012692077
-77.08806277739173|-11.99085393453912
-77.0859424|-11.9970372
-77.07235779999999|-11.954277
-77.0920809|-11.9633124
-77.07290979999999|-11.9651179
-77.0919906|-11.978765899999999
-77.09200140745145|-11.978756383203743
-77.068343|-11.9962114
-77.0790172|-11.9854966
-77.08202179999999|-11.9829384
-77.0870892|-11.9854376
-77.0807918|-11.9962228
-77.08075306773252|-11.995786975219012
-77.05172|-11.9925324
-77.0517288662436|-11.992510315708227
-77.0911981839864|-11.997798076176153
-77.0875768|-11.993217099999999
-77.0879202|-11.9472843
-77.09874556789741|-11.975243565288501
-77.0613504|-11.982942999999999
-77.06125880533249|-11.982886509007836
-76.9990918|-12.0450676
-76.98261280939394|-11.94903380586382
