longitud|latitud
-77.0339834|-12.0517776
-77.03187779999999|-12.119031999999999
-77.03587930859479|-12.109359779734048
-77.03601319709279|-12.109189895800364
-77.038029940547|-12.064135011195788
-77.03803723224877|-12.064300557965106
-77.02139919999999|-12.094312799999999
-77.0177349925921|-12.125353092513144
-76.9905616756973|-12.111904224934488
-76.99067821278534|-12.111998566789175
-76.99588781625151|-12.08729271357549
-77.05965669999999|-12.0963441
-77.0377701|-12.0496578
-77.0268375|-12.119203299999999
-77.02911209999999|-12.1235695
-77.02921887157409|-12.123418784385116
-77.05656739999999|-12.0989399
-77.0345699|-12.085744
-76.91851200927685|-12.077757984546222
-76.91848712279777|-12.077852569188488
-77.021498|-12.094054999999999
-77.0259044|-12.1283459
-77.02149421730022|-12.094064884316236
-76.97005934285374|-12.09896331881871
-77.0490707|-12.073982899999999
-77.05874459218113|-11.995306195647707
-77.06930869525449|-12.031552723369847
-77.0694399117946|-12.03170474347992
-76.9851395|-11.9482655
-76.98510645493842|-11.94821611704329
-77.06664649999999|-11.965039599999999
-77.0801268166623|-11.995306959071478
-77.000455|-12.0253838
-77.00040128367009|-12.025370824754546
-77.04033014315158|-11.900981512823805
-77.0818291|-11.9770984
-77.06050259999999|-12.0071929
-77.0429241|-12.0427287
-77.04293021633691|-12.042622459397274
-77.0428076|-12.0336499
-77.04278658433219|-12.033628076650627
-77.01523929291646|-11.990943787323927
-77.0052339|-12.0075646
-77.00520923074185|-12.00761073685686
-77.05008963802554|-11.94082835934882
-77.05006987333533|-11.940940605143812
-77.0742417|-11.8653636
-77.0848206782777|-12.030765315717616
-77.08485369774044|-12.030918206781289
-77.05224840000001|-11.954800899999999
-77.00733439999999|-12.0273911
-77.00730838581542|-12.027387830305083
-77.03187779999999|-12.119031999999999
-77.0374862|-12.0948426
-77.03757917196167|-12.094855149078494
-77.021498|-12.094054999999999
-77.0210444|-12.104152
-77.02092266169441|-12.104251239574863
-76.9905616756973|-12.111904224934488
-76.99067821278534|-12.111998566789175
-77.0362449|-12.097294
-77.02115181144484|-12.093928223159441
-77.0268375|-12.119203299999999
-77.0259044|-12.1283459
-77.03710819999999|-12.107161099999999
-77.0243687|-12.0925061
-77.02911209999999|-12.1235695
-77.02921887157409|-12.123418784385116
-77.05965669999999|-12.0963441
-77.0632399058134|-12.092360896564061
-77.03667903539365|-12.119259068908637
-77.0395434|-12.1077117
-76.98058169682231|-12.110657299058278
-77.01593760000002|-12.1074462
-76.9702253|-12.1016427
-76.97024323167201|-12.101685130123
-77.05662902529937|-12.099064920711418
-77.03187779999999|-12.119031999999999
-77.0344231|-12.0855502
-77.0210444|-12.104152
-77.02092266169441|-12.104251239574863
-77.0374862|-12.0948426
-77.03757917196167|-12.094855149078494
-77.021498|-12.094054999999999
-76.99588781625151|-12.08729271357549
-76.9905616756973|-12.111904224934488
-76.99067821278534|-12.111998566789175
-77.0362449|-12.097294
-77.02139919999999|-12.094312799999999
-77.0922192|-12.0778591
-77.0268375|-12.119203299999999
-77.04793965997577|-12.075077035904057
-77.0259044|-12.1283459
-77.05874459218113|-11.995306195647707
-77.03710819999999|-12.107161099999999
-76.9768466|-12.084610999999999
-77.0243687|-12.0925061
-77.02911209999999|-12.1235695
-77.02921887157409|-12.123418784385116
-77.05965669999999|-12.0963441
-77.0377701|-12.0496578
-76.960337|-12.0639522
-76.9851395|-11.9482655
-76.98510645493842|-11.94821611704329
-77.000455|-12.0253838
-77.00040128367009|-12.025370824754546
-77.0052339|-12.0075646
-77.00520923074185|-12.00761073685686
-76.9840495|-12.063625799999999
-76.98405229563362|-12.063626207265964
-77.00040110791186|-12.04811831222057
-77.00733439999999|-12.0273911
-77.00730838581542|-12.027387830305083
-77.0053753|-12.0082738
-76.9631643|-12.0539051
-77.00771234246139|-11.987229100512094
-76.963601|-12.0225412
-76.9636879|-12.0541085
-76.96371755808792|-12.054120217062298
-76.99588781625151|-12.08729271357549
-76.96434099999999|-12.0551245
-76.96433737890874|-12.055122754880198
-76.91851200927685|-12.077757984546222
-76.91848712279777|-12.077852569188488
-76.9873163|-12.0763901
-76.98727741074434|-12.076409005663121
-76.9558232|-12.0737734
-76.9768466|-12.084610999999999
-77.01523929291646|-11.990943787323927
-77.0922192|-12.0778591
-77.0863451|-12.077565499999999
-77.0882498|-12.079003
-77.13513661932487|-12.059791689611743
-77.098528|-12.0714148
-77.0848206782777|-12.030765315717616
-77.08485369774044|-12.030918206781289
-77.11507823977664|-12.067610798140816
-77.10113733385752|-12.055705990578645
-77.13623001265229|-12.04260357594742
-77.09588968121052|-12.053425161998984
-77.09586140650369|-12.053312669527804
-77.07168039999999|-12.092060499999999
-77.11089909713742|-12.048642408221717
-77.0871147|-12.050799999999999
-77.08712262244157|-12.050801352060342
-77.06930869525449|-12.031552723369847
-77.0694399117946|-12.03170474347992
-77.0631504|-12.0922621
-77.0663067|-12.080855999999999
-77.05965669999999|-12.0963441
-77.1439757|-12.061105
-77.14392140407989|-12.061097273192118
-77.06664649999999|-11.965039599999999
-77.0801268166623|-11.995306959071478
-77.0818291|-11.9770984
-77.12423400300005|-11.996880771813588
-77.0724461|-11.9915218
-77.05874459218113|-11.995306195647707
-77.11256019999999|-11.9983372
-77.06050259999999|-12.0071929
-77.06247917762056|-12.00495206644883
-77.06930869525449|-12.031552723369847
-77.0694399117946|-12.03170474347992
-77.1042787|-12.0239368
-77.0848206782777|-12.030765315717616
-77.08485369774044|-12.030918206781289
-77.05956990353704|-12.02177619343992
-77.05941970361503|-12.02181243424786
-77.06748429999999|-11.9652958
-77.06749325495502|-11.965230276451319
-77.05224840000001|-11.954800899999999
-77.0575064|-12.0280256
-77.0638537|-11.9944481
-77.06385368462568|-11.994448616074706
-77.0428076|-12.0336499
-77.04278658433219|-12.033628076650627
-77.0377701|-12.0496578
-77.0781356|-11.977959400000001
-77.07819789720592|-11.977942366517532
