longitud|latitud
-77.0002182|-12.1125362
-77.0267787|-12.0962795
-76.9906848|-12.1119275
-77.03918709999999|-12.1062867
-77.03758848429013|-12.07210663043754
-77.05053629999999|-12.0748529
-77.0245429|-12.0930032
-77.0368505|-12.114193499999999
-77.03684841549789|-12.11413605905542
-77.0647753|-12.0775406
-77.0470448|-12.0668086
-77.0471474745494|-12.066936254712148
-77.05367261542713|-12.102751187240223
-77.05358951833071|-12.102657332303005
-77.01271070000001|-12.063662599999999
-77.0428785|-12.0919157
-76.9927903|-12.113271700000002
-77.05373796870589|-12.087422033965089
-77.03568229999999|-12.0946018
-77.0472223186377|-12.092421236414065
-77.02676699999999|-12.093432199999999
-76.996197|-12.089156
-77.051748|-12.0896182
-77.05167493132502|-12.08968767951146
-77.04135903983487|-11.916309002508012
-77.03147129999999|-11.8986697
-77.074198|-11.8654233
-77.1273251|-11.8769514
-77.0757453|-11.8652112
-77.0403049|-11.901162399999999
-77.01562960359612|-11.873933550268015
-77.12730549999999|-11.8769308
-77.12732948607248|-11.876955836981484
-77.07697487387951|-11.939307370235005
-77.0527165|-11.938063999999999
-77.0722704302947|-11.937908269626933
-77.0721635449141|-11.937935285517165
-77.0529291|-11.956790199999999
-77.00169149999999|-11.97532
-77.08196103544593|-11.977221865359226
-77.1263189|-11.8864441
-77.12631554664219|-11.88654047119944
-76.9926385|-12.0243978
-77.05253946827226|-12.025325978721314
-77.07943583778012|-11.995496427316574
-77.05890769999999|-11.9406988
-77.05886115150301|-11.94088045824789
-77.08307230233082|-12.031002320734416
-77.09360410000001|-12.077702600000002
-77.1117439|-12.0485271
-77.0871615|-12.0514505
-77.10128329999999|-12.057163099999999
-77.09732609999999|-12.063830699999999
-77.08888797551901|-12.079566861686294
-77.140171|-12.0605485
-77.1031884|-12.0282068
-77.1612043|-12.0696645
-77.16122153509738|-12.06967796040199
-77.0817333184331|-12.076399381570411
-77.1082497|-12.0180147
-77.10823472979244|-12.018047141629403
-77.05253946827226|-12.025325978721314
-77.0647753|-12.0775406
-77.07259739999999|-12.090583299999999
-77.07100799999999|-12.0061365
-77.06125652162439|-12.048276243420071
-77.09365|-12.0280182
-77.0747334|-12.0887379
-77.07943583778012|-11.995496427316574
-76.8854471|-12.0156505
-76.9926385|-12.0243978
-76.9246538027938|-12.030134767994547
-76.93064150033341|-12.03628210923964
-77.00169149999999|-11.97532
-76.96428894315883|-12.054245897835589
-76.97188002331481|-12.048491595053482
-76.97188916488518|-12.048414106323804
-76.88540549999999|-12.0148002
-76.88538074172415|-12.01479127343904
-76.94878400000002|-12.0405202
