longitud|latitud
-77.0256489|-12.118311499999999
-76.99664052652089|-12.085598101471863
-77.01384999999999|-12.147511
-77.0497768|-12.110382
-77.0059211|-12.1469376
-77.027396|-12.1158696
-77.02316159785215|-12.07972646594502
-77.0263975|-12.169372099999999
-76.9881647|-12.1523729
-77.03306599999999|-12.0864309
-77.04474672917927|-12.115680614847024
-77.0486674|-12.0667045
-76.9496905|-12.0626275
-76.9669902|-12.0496584
-77.0243862|-12.1112862
-76.9881053|-12.1458332
-77.0491499|-12.052963199999999
-77.0162441|-12.1141461
-76.99974139999999|-12.0729835
-77.0269367|-12.0897089
-77.05315399999999|-11.9559809
-77.0452816|-11.9354984
-77.0755941|-11.860642
-77.09097129999999|-11.9579609
-77.03677918755864|-11.854294200724642
-77.0399015|-11.9250802
-77.0425077|-11.940006499999999
-77.03308545054591|-11.915089355417715
-77.055284|-11.9282842
-77.05598309999999|-11.9145338
-77.0767417|-11.865659299999999
-77.03667903539365|-11.907674471679517
-77.0780858|-11.935342799999999
-77.0210846|-11.870655099999999
-77.0294523|-11.8850743
-77.0659891|-11.9485765
-77.0659873058209|-11.948585247052314
-77.0456408|-11.9408174
-77.07542529999999|-11.9234403
-77.0330942|-11.915583199999999
-77.03315230850463|-11.91558148105361
-77.04957540365457|-11.900853340719772
-77.05717537828355|-11.830603657387316
-77.0755941|-11.860642
-77.03677918755864|-11.854294200724642
-77.12970349999999|-11.8255193
-77.0767417|-11.865659299999999
-77.1059594|-11.830041399999999
-77.03667903539365|-11.907674471679517
-77.0210846|-11.870655099999999
-77.0294523|-11.8850743
-77.04957540365457|-11.900853340719772
-77.11873952294515|-11.827754293278156
-77.1095928|-11.872511099999999
-77.01874536598528|-11.878192922385251
-77.0628225|-11.880659699999999
-77.0993572|-11.823874799999999
-77.13270603049098|-11.885808197878374
-77.01912310000002|-11.864903499999999
-77.0372825|-11.8998375
-77.07312173339244|-11.888493135015132
-77.12875869999999|-11.876680499999999
-77.0832507|-11.995238899999999
-77.05315399999999|-11.9559809
-77.0486674|-12.0667045
-77.01256947090992|-12.030628692890195
-77.09322506816072|-12.016007481357951
-77.0491499|-12.052963199999999
-77.0964494|-12.042611599999999
-77.0098593|-11.9996377
-77.0677456|-11.9890977
-77.10896009999999|-11.9760271
-77.0533133|-11.9973978
-77.0997106|-12.0272194
-77.08124939999999|-11.9904348
-77.0724377|-11.9867178
-77.0491421|-12.052895
-77.0826464|-12.022877699999999
-77.0305882|-12.0419106
-77.0974817|-12.0572239
-77.1064009|-11.990250099999999
-77.0494168|-12.054018899999999
-77.04938214794366|-12.054015904455234
-76.9053947|-12.027040099999999
-76.90540554608448|-12.026945948588446
-76.9097283|-12.0290138
-76.9193707|-12.025658900000002
-76.94584679989468|-12.043337893041361
-76.84403080000001|-12.0055642
-76.91353|-12.025157
-76.95042691429418|-12.031430080254921
-76.91200248415858|-12.025717537397702
-76.8257671|-12.007610699999999
-76.82379820000001|-12.0117462
-76.90816363554343|-12.029156063161162
-76.9544382|-12.0418785
-76.95440202189324|-12.041956968307392
-76.9544542|-12.041843799999999
-76.95444228572389|-12.041869610943325
-76.9287686|-12.03703
-76.91819509999999|-11.9752954
-76.9465666|-12.041699999999999
-76.9454664|-12.034388
-76.9489607|-12.0060326
-77.0832507|-11.995238899999999
-77.05315399999999|-11.9559809
-77.01256947090992|-12.030628692890195
-76.9496905|-12.0626275
-76.9669902|-12.0496584
-77.0057351|-12.019593600000002
-77.00604554030183|-12.019767352374329
-77.0491499|-12.052963199999999
-76.9896624|-11.9624949
-77.0098593|-11.9996377
-77.0452816|-11.9354984
-77.0533133|-11.9973978
-77.0724377|-11.9867178
-77.0491421|-12.052895
-77.0826464|-12.022877699999999
-77.0305882|-12.0419106
-76.9988896|-12.0141169
-76.9616346|-12.038904899999999
-76.989311223957|-11.96434587314566
-77.0425077|-11.940006499999999
-77.0164976|-12.0601688
-77.09322506816072|-12.016007481357951
-77.0964494|-12.042611599999999
-77.0997106|-12.0272194
-77.134986601749|-12.051759484373628
-77.0799803|-12.0091944
-77.0826464|-12.022877699999999
-77.09869349801004|-12.072151581297103
-77.0780654|-12.0225104
-77.0974817|-12.0572239
-77.1039871|-12.067673000000001
-77.0596796|-12.052313
-77.0597106169784|-12.052391455157947
-77.0719281|-12.0292478
-77.092232|-12.0125223
-77.1184768|-12.0424034
-77.0559213|-12.0586541
-77.0779498|-12.061384799999999
-77.0625747|-12.0515441
-77.0734836|-12.00897
-77.05900869999999|-12.064425799999999
-77.01384999999999|-12.147511
-77.0059211|-12.1469376
-77.0263975|-12.169372099999999
-76.9881647|-12.1523729
-76.9881053|-12.1458332
-76.98397969999999|-12.1577696
-76.988773|-12.1575244
-77.0140835|-12.147036799999999
-76.9516273|-12.2051559
-76.95158246580345|-12.205129875172146
-76.9978294|-12.1286081
-77.01561563256917|-12.142188803583872
-76.9754599|-12.1665189
-77.00624079846571|-12.184834529739362
-76.9745569|-12.1662844
-76.97049380000001|-12.152541
-76.95307389999999|-12.1534508
-76.94062740907283|-12.133731705279272
-76.9406274|-12.1337317
-76.9755401|-12.194647699999999
-77.0034534|-12.199691399999999
-76.9490303|-12.1469366
-76.9881647|-12.1523729
-76.9881053|-12.1458332
-76.86037619999999|-12.2291406
-76.98397969999999|-12.1577696
-76.988773|-12.1575244
-76.9516273|-12.2051559
-76.95158246580345|-12.205129875172146
-76.9754599|-12.1665189
-76.9745569|-12.1662844
-76.97049380000001|-12.152541
-76.95307389999999|-12.1534508
-76.9755401|-12.194647699999999
-76.9490303|-12.1469366
-76.9839887|-12.164852
-76.9074837|-12.160224099999999
-76.99833224011613|-12.183229911376923
-76.93608482367493|-12.178705778649809
-76.9502318|-12.217843199999999
-76.9485819|-12.174037499999999
-76.99290909999999|-12.197559400000001
-76.8965034|-12.248437
