longitud|latitud
-77.0137627|-12.0835979
-77.05777337723336|-12.089251323200456
-76.95788022285741|-12.07012208145258
-77.02054888659315|-12.103804421388672
-77.00223873422932|-12.110285779835062
-77.04702721440896|-12.058721936881764
-77.09631950861976|-12.063154036297256
-77.00319580744099|-12.040972283857215
-77.0298638|-12.1228448
-77.03175135858535|-12.04968268337658
-77.01106872465678|-12.075353718874217
-77.01744837152548|-12.141245796495522
-77.02177722638747|-12.146487106801615
-77.03588501906525|-12.081792319652136
-76.9738254043558|-12.05855947630028
-77.02511661338754|-12.096950798025428
-77.0510347|-12.073870699999999
-77.1148537|-12.057112900000002
-77.05384812052301|-12.08700372249661
-76.947422816083|-12.044441000850505
-77.05644711204428|-11.934062469704342
-77.12610555915018|-11.877574834727383
-77.04448151895313|-11.931971122232381
-77.05581827507157|-11.933733827599657
-77.12634943254906|-11.876592668041779
-77.0452409|-11.9317365
-77.04521574312211|-11.93170854670636
-77.04573535468185|-11.934315691933936
-77.0632488648283|-11.987860996328074
-77.0020722|-11.9759069
-77.05621609674738|-11.934248799598256
-77.1322241|-11.831281899999999
-77.0039533056353|-12.006429361564834
-76.9875007354853|-11.959784110274134
-77.0603084276828|-12.00622791418675
-77.0636267|-11.9903759
-77.09031267372326|-12.011181086216276
-77.0523164|-12.011793899999999
-76.9996936789582|-11.995419686771934
-77.0052364721864|-12.006719555858286
-77.06030447507989|-12.00622986279859
-76.95788022285741|-12.07012208145258
-77.03603939999999|-12.0818149
-77.0260382739582|-12.075345372309778
-77.0540402|-12.0872095
-77.03175135858535|-12.04968268337658
-77.05777337723336|-12.089251323200456
-77.01382847012852|-12.084241110160853
-77.0631836|-11.9882355
-77.02908529999999|-12.064318199999999
-77.05094083427929|-12.073944902784582
-77.0038322995704|-12.006484085833863
-77.00218108638705|-11.975627602268327
-77.04265428460978|-12.042704169747823
-76.93537769999999|-12.041965
-77.00175496604561|-12.040513965737595
-77.0431223403478|-12.05397718504236
-77.0130621|-12.0712005
-77.0469947|-12.058624799999999
-77.0208244|-12.103835199999999
-77.09646105716604|-12.06303325937604
-77.08918250586044|-12.076710405118238
-77.07948299800547|-12.049372665378462
-77.12603039999999|-12.059468599999999
-77.113368|-12.0471427
-77.09203934243794|-12.029251301097517
-77.0901818|-12.0110849
-77.0608787|-12.006699999999999
-77.05777337723336|-12.089251323200456
-77.0540402|-12.0872095
-77.05092616459076|-12.07395650871791
-77.0632488648283|-11.987860996328074
-77.03588501906525|-12.081792319652136
-77.04265463600368|-12.04289197937884
-77.0431223403478|-12.05397718504236
-77.03175425784626|-12.04965575958503
-77.0469947|-12.058624799999999
-77.0260382739582|-12.075345372309778
-77.05187767027502|-12.011685192991251
-77.02908529999999|-12.064318199999999
-77.01196210982926|-12.198307391499984
-77.02164719999999|-12.1464661
-76.980525357114|-12.150160897547119
-76.97844340643164|-12.167974722659883
-77.01349316005593|-12.180837199164706
-77.01744837152548|-12.141245796495522
-77.00060129637588|-12.184240121963173
-77.0133029|-12.1731494
-76.97767467447862|-12.151985701748904
-77.01194939999999|-12.1982623
-77.0119443599371|-12.19825568704913
-77.0298358983583|-12.123045115766288
-76.9622086|-12.2052728
-77.002353|-12.1096267
-77.0208244|-12.103835199999999
-77.0540402|-12.0872095
-77.05777337723336|-12.089251323200456
-77.01377768160793|-12.0841998617946
-77.03588501906525|-12.081792319652136
-77.0260382739582|-12.075345372309778
-76.95788022285741|-12.07012208145258
-77.0608787|-12.006699999999999
-77.03175425784626|-12.04965575958503
-77.0632488648283|-11.987860996328074
-77.07948299800547|-12.049372665378462
-77.04265463600368|-12.04289197937884
-77.0901818|-12.0110849
-77.113368|-12.0471427
-77.0293755|-12.040612699999999
-77.09203934243794|-12.029251301097517
-77.044215605366|-11.932195373584603
-77.0562317|-11.934278899999999
-77.05627934052283|-11.934367885971689
-77.05187767027502|-12.011685192991251
-77.0431223403478|-12.05397718504236
-77.0038322995704|-12.006484085833863
-77.10352694482188|-11.992126940063732
-77.0020722|-11.9759069
-77.00510764646252|-12.005576527241068
-77.00175496604561|-12.040513965737595
-77.09646105716604|-12.06303325937604
