precio|enlace|descripcion|area|habitaciones|banios|pais|localidad|region|direccion|latitude|longitude
$ 570,000|/inmueble/622269|Casa en  Pando, Lima|245m2|9|6|PE|Pando, San Miguel, Lima|Lima Departamento||-12.083778|-77.074024
$ 700,000|/inmueble/610516|Casa en  Urb.el Sol De La Molina Iii Etapa, Calle Las Cascadas Del Sol, La Molina, Perú|1,000m2|4|4|PE|El Sol De La Molina, La Molina, Lima|Lima Departamento|Urb.el Sol De La Molina Iii Etapa, Calle Las Cascadas Del Sol, La Molina, Perú|-12.0824781|-76.8993076
$ 210|/inmueble/468056|Casa en  Maranga, Lima|140m2|3|2|PE|Maranga, San Miguel, Lima|Lima Departamento||-12.07108054124706|-77.10411138832568
$ 495,000|/inmueble/621355|Casa en  Jirón Monte Algarrobo, Surco, Perú|200m2|11|7|PE|Santiago de Surco, Lima|Lima Departamento|Jirón Monte Algarrobo, Surco, Perú|-12.1404688|-76.9830973
$ 770,000|/inmueble/1f2f-8960-80658b2f-dbe273f7dfcc-449f|Casa en  Rinconada Baja, Lima|494m2|4|5|PE|Rinconada Baja, La Molina, Lima|Lima Departamento||-12.085901169381163|-76.92377809435129
$ 375,000|/inmueble/e782-9684-4d6b7e93-b05fe6298fa2-4d3c|Casa en  La Encantada 130, Rinconada Del Lago, La Molina, Perú|253m2|3|4|PE|Rinconada Baja, La Molina, Lima|Lima Departamento|La Encantada 130, Rinconada Del Lago, La Molina, Perú|-12.098842|-76.9279121
$ 169,900|/inmueble/86d1-902f-68a2e603-bf81cd0edf17-4d52|Casa en  Asia Del Mar, Asia Del Sur, Asia, Perú|120m2|3|4|PE|Asia, Cañete|Lima Departamento|Asia Del Mar, Asia Del Sur, Asia, Perú|-12.8323748|-76.53789569999999
$ 1,500,000|/inmueble/622420|Casa en  La Planicie, Lima|1,515m2|4|5|PE|La Planicie, La Molina, Lima|Lima Departamento||-12.075639|-76.911006
$ 210,000|/inmueble/622394|Casa en  Chorrillos, Lima|160m2|6|4|PE|Chorrillos, Lima|Lima Departamento||-12.202382|-77.015349
$ 1,380,000|/inmueble/b805-b61c-90ec0547-14ec249617d1-4611|Casa en  Camacho, Lima|1,000m2|5|5|PE|Camacho, La Molina, Lima|Lima Departamento||-12.0771286|-76.9679852
$ 590,000|/inmueble/8618-b68d-87e2141e-7f5855f153f6-3c4e|Casa en  San Antonio, Cañete|550m2|6|7|PE|San Antonio, Cañete|Lima Departamento||-12.585236|-76.68061
$ 680,000|/inmueble/467438|Casa en  El Incario 350, Santiago De Surco, Perú|387.51m2|4|3|PE|Santiago de Surco, Lima|Lima Departamento|El Incario 350, Santiago De Surco, Perú|-12.101378|-76.9759247
$ 380,000|/inmueble/503648|Casa en  Chorrillos, Lima|250m2|3|3|PE|Chorrillos, Lima|Lima Departamento||-12.2169099|-76.997427
$ 1,790,000|/inmueble/399247|Casa en  Jirón Batallón Tarma 160, Surco, Peru|600m2|5|7|PE|Santiago de Surco, Lima|Lima Departamento|Jirón Batallón Tarma 160, Surco, Peru|-12.1243358|-76.9805088
$ 1,345,000|/inmueble/480650|Casa en  Calle Cabo Blanco 285, San Isidro, Perú|628m2|11|5|PE|Orrantia, San Isidro, Lima|Lima Departamento|Calle Cabo Blanco 285, San Isidro, Perú|-12.1051802|-77.057311
$ 540,000|/inmueble/31ac-a3b0-aa8870a6-510c1af0e2f6-1273|Casa en  El Sol De La Molina, Lima|384m2|4|5|PE|El Sol De La Molina, La Molina, Lima|Lima Departamento||-12.083398719386878|-76.90526816993952
$ 1,650,000|/inmueble/cd24-87e0-5e3bfcd5-d00be3c959ee-41ee|Casa en  Rinconada Baja, Lima|1,085m2|4|6|PE|Rinconada Baja, La Molina, Lima|Lima Departamento||-12.077286256592375|-76.93537227809429
$ 1,080,000|/inmueble/4555-9166-3186cc36-d3e22942d760-1273|Casa en  Rinconada Baja, Lima|1,000m2|4|6|PE|Rinconada Baja, La Molina, Lima|Lima Departamento||-12.087121404425174|-76.92588295787573
$ 1,100,000|/inmueble/b771-8b11-4ec4e70-d6ce3eec4bb5-48c4|Casa en  La Planicie, Lima|639m2|4|5|PE|La Planicie, La Molina, Lima|Lima Departamento||-12.075721|-76.9062916
$ 435,000|/inmueble/538264|Casa en  Q4vx+jr8, Lima 15823, Perú|2,634m2|2|3|PE|Pachacamac, Lima|Lima Departamento|Q4vx+jr8, Lima 15823, Perú|-12.206052977253|-76.8518212672119
$ 850,000|/inmueble/476824|Casa en  Santiago De Surco, Lima|475m2|5|5|PE|Santiago de Surco, Lima|Lima Departamento||-12.1150629|-76.9904605
$ 110,000|/inmueble/538461|Casa en  Casa Club El Palmar — Lurin, Lurín, Perú|150m2|3|2|PE|Lurin, Lima|Lima Departamento|Casa Club El Palmar — Lurin, Lurín, Perú|-12.2292715|-76.8928241
$ 599,000|/inmueble/519542|Casa en  Eritrinas, Urb La Molina Vieja Etapa 2, La Molina, Perú|334m2|3|4|PE|Camacho, La Molina, Lima|Lima Departamento|Eritrinas, Urb La Molina Vieja Etapa 2, La Molina, Perú|-12.0887262|-76.9528842
$ 510,000|/inmueble/406153|Casa en  Batallón Libres De Trujillo, Lima District, Peru|304m2|3|2|PE|Santiago de Surco, Lima|Lima Departamento|Batallón Libres De Trujillo, Lima District, Peru|-12.1211038|-76.9815611
$ 420,000|/inmueble/562790|Casa en  Santiago De Surco, Lima|300m2|4|3|PE|Santiago de Surco, Lima|Lima Departamento||-12.1042185|-76.9549596
$ 645,000|/inmueble/622288|Casa en  San Antonio, Lima|455m2|4|2|PE|San Antonio, Miraflores, Lima|Lima Departamento||-12.120772|-77.020191
$ 340,000|/inmueble/503649|Casa en  Las Brisas De Villa, Chorrillos, Perú|290m2|5|5|PE|Chorrillos, Lima|Lima Departamento|Las Brisas De Villa, Chorrillos, Perú|-12.2169099|-76.997427
$ 575,000|/inmueble/a5cd-bc02-80f201ed-e1be2240f15d-4c0a|Casa en  Jirón Las Gardenias, Santiago De Surco, Perú|313m2|5|3|PE|Santiago de Surco, Lima|Lima Departamento|Jirón Las Gardenias, Santiago De Surco, Perú|-12.118959|-76.9739908
$ 1,250,000|/inmueble/a97a-b009-95ceb49c-cc687051bc2b-4ffe|Casa en  La Planicie, Lima|1,416m2|5|6|PE|La Planicie, La Molina, Lima|Lima Departamento||-12.076165|-76.9153888
