precio|enlace|descripcion|area|habitaciones|banios|pais|localidad|region|direccion|latitude|longitude
$ 110,000|/inmueble/469275|Departamento en  Av. Mariscal La Mar 4, Miraflores, Perú|73m2|2|2|PE|Santa Cruz, Miraflores, Lima|Lima Departamento|Av. Mariscal La Mar 4, Miraflores, Perú|-12.1183227|-77.04060950000002
$ 69,500|/inmueble/455078|Departamento en  Santiago De Surco, Lima|41m2|1|1|PE|Santiago de Surco, Lima|Lima Departamento||-12.1280826|-76.9686419
$ 425,000|/inmueble/431740|Departamento en  San Borja, Lima|203m2|3|4|PE|San Borja, Lima|Lima Departamento||-12.0974067|-77.0007038
$ 125,000|/inmueble/f9e2-8214-4bc2479-79761bddd735-4b60|Departamento en  C. Las Camelias 875, San Isidro 15046, Perú|45m2|1|1|PE|Corpac, San Isidro, Lima|Lima Departamento|C. Las Camelias 875, San Isidro 15046, Perú|-12.0978818|-77.0283888
$ 279,000|/inmueble/572465|Departamento en  Santiago De Surco, Lima|147.5m2|3|4|PE|Santiago de Surco, Lima|Lima Departamento||-12.1323757|-77.0010266
$ 99,000|/inmueble/19ac-ad95-a44660f5-612cb7748149-4184|Departamento en  Calle Los Eucaliptos, San Juan De Miraflores, Perú|120m2|3|3|PE|San Juan de Miraflores, Lima|Lima Departamento|Calle Los Eucaliptos, San Juan De Miraflores, Perú|-12.1708488|-76.9684787
$ 138,258|/inmueble/467898|Departamento en  Av. San Martín, Barranco, Perú|51.16m2|1|1|PE|Cercado de Lima, Lima|Lima Departamento|Av. San Martín, Barranco, Perú|-12.14251|-77.0232015
$ 130,158|/inmueble/467908|Departamento en  Av. San Martín, Barranco, Perú|47.97m2|1|1|PE|Cercado de Lima, Lima|Lima Departamento|Av. San Martín, Barranco, Perú|-12.14251|-77.0232015
$ 289,000|/inmueble/590462|Departamento en  Avenida General Córdoba, Miraflores, Perú|120m2|2|4|PE|Santa Cruz, Miraflores, Lima|Lima Departamento|Avenida General Córdoba, Miraflores, Perú|-12.1121584|-77.0455343
$ 210,000|/inmueble/468546|Departamento en  Calle Los Apaches, Surco, Perú|131m2|3|2|PE|Santiago de Surco, Lima|Lima Departamento|Calle Los Apaches, Surco, Perú|-12.1063151|-76.974469
