Empresa	Medio de Acceso	Mes	Departamento	Conexiones		
PEDRO JUAN LACA BUENDÍA		2004-01-01	LAMBAYEQUE	180		
PEDRO MARTÍN FUENTES SOTELO 		2004-01-01	LIMA	606		
RADIO TV H.P.CH. E.I.R.L.		2004-01-01	LIMA	"2,419"		
SERVICIOS CABLE SUR S.A.C.		2004-01-01	ICA	"3,146"		
STAR GLOBAL COM S.A.C.		2004-01-01	AREQUIPA	"6,892"		
STAR GLOBAL COM S.A.C.		2004-01-01	TACNA	"5,051"		
SUPERCABLE TELEVISION S.R.LTDA.		2004-01-01	PIURA	"4,794"		
TARMA VISIÓN S.R.L.		2004-01-01	JUNÍN	627		
TELE CABLE FUTURO S.A.C.		2004-01-01	ANCASH	218		
TELE CABLE MOTUPE S.R.L.		2004-01-01	LAMBAYEQUE	187		
TELECABLE CASMA S.R.LTDA. 		2004-01-01	ANCASH	638		
TELECABLE PAITA S.R.L.		2004-01-01	PIURA	"1,193"		
TELECABLE PANGOA S.R.L.		2004-01-01	JUNÍN	331		
TELECABLE SIGLO 21 S.A.A.		2004-01-01	LIMA	"6,537"		
TELECABLE TRUJILLO S.A.C.		2004-01-01	LA LIBERTAD	228		
TELEFÓNICA MULTIMEDIA S.A.C.		2004-01-01	ANCASH	"3,418"		
TELEFÓNICA MULTIMEDIA S.A.C.		2004-01-01	AREQUIPA	"12,011"		
TELEFÓNICA MULTIMEDIA S.A.C.		2004-01-01	CUSCO	"6,867"		
TELEFÓNICA MULTIMEDIA S.A.C.		2004-01-01	JUNÍN	"2,465"		
TELEFÓNICA MULTIMEDIA S.A.C.		2004-01-01	LA LIBERTAD	"11,460"		
TELEFÓNICA MULTIMEDIA S.A.C.		2004-01-01	LAMBAYEQUE	"5,350"		
TELEFÓNICA MULTIMEDIA S.A.C.		2004-01-01	LIMA	"296,198"		
TELEFÓNICA MULTIMEDIA S.A.C.		2004-01-01	PIURA	"4,070"		
TELEVISIÓN ALVIS E.I.R.L.		2004-01-01	LORETO	156		
TELEVISION SAN MARTIN S.A.C.		2004-01-01	SAN MARTÍN	"2,351"		
TELEVISIÓN TOTAL S.A.C.		2004-01-01	LIMA	"1,030"		
TELEVISORA SATELITAL S.A.C.		2004-01-01	ANCASH	401		
TELEVISORA TLS CHEPEN S.A.C.		2004-01-01	LA LIBERTAD	921		
TV CABLE DEL NORTE  S.R.L.		2004-01-01	LIMA	209		
TV CABLE OLCARÍN S.R.L		2004-01-01	SAN MARTÍN	185		
TV CABLE PUEBLO NUEVO 		2004-01-01	LA LIBERTAD	269		
TV CABLE RIOJA E.I.R.L. 		2004-01-01	SAN MARTÍN	"1,373"		
TV CABLE S.A. 		2004-01-01	PUNO	"1,312"		
TV CABLE SAN JUAN S.R.L. 		2004-01-01	LORETO	"4,509"		
TV CABLE SATÉLITE BAGUA E.I.R.L. 		2004-01-01	AMAZONAS	137		
TV CABLE Y TELECOMUNICACIONES S.A.C.		2004-01-01	JUNÍN	231		
XILEF ZILAO ROJAS BARDALES		2004-01-01	PIURA	440		
AMAZONIA T.V. S.R.LTDA		2004-02-01	SAN MARTÍN	576		
ANTENAS CABLE VISIÓN SATELITE S.A. 		2004-02-01	LIMA	"3,314"		
ASELEC INGENIEROS SRL		2004-02-01	LIMA	749		
ASOCIACIÓN COMUNITARIA TV. SATÉLITE VENTANILLA 		2004-02-01	LIMA	895		
