Empresa	Medio de Acceso	Mes	Departamento	Conexiones		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-04-01	MOQUEGUA	"1,446"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-04-01	PASCO	617		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-04-01	PIURA	"9,349"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-04-01	PUNO	"1,386"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-04-01	SAN MARTÍN	"1,027"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-04-01	TACNA	"1,817"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-04-01	TUMBES	538		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-04-01	UCAYALI	"1,700"		
TELEMUNDO INTERNACIONAL E.I.R.L.		2009-04-01	LIMA	780		
TELEVISION MINERA S.R.L.		2009-04-01	JUNÍN	400		
TELEVISION SATELITAL CONCEPCION S.R.L.		2009-04-01	JUNÍN	221		
TELMEX PERÚ S.A.		2009-04-01	AMAZONAS	3		
TELMEX PERÚ S.A.		2009-04-01	ANCASH	63		
TELMEX PERÚ S.A.		2009-04-01	APURÍMAC	3		
TELMEX PERÚ S.A.		2009-04-01	AREQUIPA	"3,085"		
TELMEX PERÚ S.A.		2009-04-01	CAJAMARCA	7		
TELMEX PERÚ S.A.		2009-04-01	CUSCO	414		
TELMEX PERÚ S.A.		2009-04-01	HUANCAVELICA	466		
TELMEX PERÚ S.A.		2009-04-01	HUÁNUCO	12		
TELMEX PERÚ S.A.		2009-04-01	ICA	"1,852"		
TELMEX PERÚ S.A.		2009-04-01	JUNÍN	"2,867"		
TELMEX PERÚ S.A.		2009-04-01	LA LIBERTAD	618		
TELMEX PERÚ S.A.		2009-04-01	LAMBAYEQUE	"6,196"		
TELMEX PERÚ S.A.		2009-04-01	LIMA	"44,640"		
TELMEX PERÚ S.A.		2009-04-01	LORETO	788		
TELMEX PERÚ S.A.		2009-04-01	PASCO	47		
TELMEX PERÚ S.A.		2009-04-01	PIURA	832		
TELMEX PERÚ S.A.		2009-04-01	PUNO	374		
TELMEX PERÚ S.A.		2009-04-01	SAN MARTÍN	2		
TELMEX PERÚ S.A.		2009-04-01	TUMBES	1		
TELMEX PERÚ S.A.		2009-04-01	UCAYALI	945		
TODO TV VILLA RICA S.R.L		2009-04-01	PASCO	185		
TV - CABLE - CATACAOS E.I.R.L.		2009-04-01	PIURA	539		
TV CABLE DEL NORTE  S.R.L.		2009-04-01	LIMA	690		
TV. CABLE Y TELECOMUNICACIONES S.A.C.		2009-04-01	JUNÍN	410		
VIP CHANNEL S.A.C.		2009-04-01	LIMA	"2,715"		
VIVIANA MARINA RODRÍGUEZ VIENA		2009-04-01	LORETO	220		
A & P SERVITEL S.A.C.		2009-05-01	LIMA	56		
AMAZONIA T.V. S.R.LTDA		2009-05-01	SAN MARTÍN	955		
ANDRES CULQUI CULQUI		2009-05-01	SAN MARTÍN	380		
ANIBAL ESTRELLA CARTAGENA		2009-05-01	SAN MARTÍN	476		
ANTENAS CABLE VISIÓN SATELITE S.A. 		2009-05-01	LIMA	"6,098"		
ASELEC INGENIEROS SRL		2009-05-01	LIMA	752		
AUREA VIVIANA CIRIACO CABRERA (ELVI TELEVISIÓN)		2009-05-01	LA LIBERTAD	497		
BASILES AREVALO FLORES		2009-05-01	SAN MARTÍN	155		
BENJAMÍN SEGUNDO CARDENAS SALDAÑA 		2009-05-01	LIMA	868		
CABLE AMÉRICA S.A		2009-05-01	LIMA	"3,271"		
CABLE CLUB S.R.L.		2009-05-01	MOQUEGUA	"1,156"		
CABLE CLUB S.R.L.		2009-05-01	TACNA	176		
CABLE JAEN S.R.L.		2009-05-01	CAJAMARCA	"2,124"		
CABLE MAX S.A.C		2009-05-01	LIMA	174		
CABLE PLUS S.A.C.		2009-05-01	LIMA	"1,978"		
CABLE SISTEMAS S.R.L.		2009-05-01	APURÍMAC	580		
CABLE VIDEO PERÚ S.A.C.		2009-05-01	LIMA	"6,847"		
CABLE VIRTUAL S.A.C.		2009-05-01	LIMA	319		
CABLE VISIÓN CÁRDENAS E.I.R.L		2009-05-01	SAN MARTÍN	521		
CABLE VISIÓN CHACHAPOYAS E.I.R.L		2009-05-01	AMAZONAS	"1,443"		
CABLE VISION CHEPEN SAC		2009-05-01	LA LIBERTAD	990		
CABLE VISIÓN DEL CENTRO S.R.L.		2009-05-01	AYACUCHO	"2,142"		
CABLE VISIÓN DEL CENTRO S.R.L.		2009-05-01	LA LIBERTAD	"1,284"		
CABLE VISIÓN DEL NORTE S.A.C.		2009-05-01	LA LIBERTAD	"2,160"		
CABLE VISIÓN DEL NORTE S.A.C.		2009-05-01	LAMBAYEQUE	516		
CABLE VISION HUANUCO S.A.C. 		2009-05-01	HUÁNUCO	"3,544"		
CABLE VISION HUANUCO S.A.C. 		2009-05-01	JUNÍN	854		
CABLE Visión Ica		2009-05-01	ICA	"5,525"		
CABLE VISION IQUITOS S.A.C.		2009-05-01	LORETO	"5,263"		
CABLE VISION TUMBES S.A.C		2009-05-01	TUMBES	"2,049"		
CABLE VISION ZARUMILLA S.A.C.		2009-05-01	TUMBES	"2,095"		
CABLE YURIMAGUAS S.R.L.		2009-05-01	LORETO	"2,111"		
CABLE ZOFRI S.R.L.		2009-05-01	AREQUIPA	"1,327"		
CABLE ZOFRI S.R.L.		2009-05-01	MOQUEGUA	"2,307"		
CABLEMAX E.I.R.L		2009-05-01	PIURA	"1,203"		
CATV SYSTEMS E.I.R.L.		2009-05-01	LIMA	"25,119"		
CENTRAL DE COMUNICACIONES PACHACAMAC S.A.C.		2009-05-01	LIMA	283		
CÉSAR HUMBERTO MINAYA VELÁSQUEZ (T.V CABLE SAYAN)		2009-05-01	LIMA	560		
CHAVEZ SUING ROLANDO AZEN		2009-05-01	LA LIBERTAD	303		
CJG CABLE S.R.L.		2009-05-01	PASCO	751		
COMUNICACIONES PORCÓN S.A.C.		2009-05-01	CAJAMARCA	"2,820"		
CORPORACION PERUANA DE IMAGEN SATELITAL S.R.L.		2009-05-01	LIMA	"1,344"		
DANTE DANIEL DE LA CRUZ CASTRO		2009-05-01	LIMA	445		
DIRECTV PERU S.R.L		2009-05-01	AMAZONAS	301		
DIRECTV PERU S.R.L		2009-05-01	ANCASH	"1,057"		
DIRECTV PERU S.R.L		2009-05-01	APURÍMAC	234		
DIRECTV PERU S.R.L		2009-05-01	AREQUIPA	"3,698"		
DIRECTV PERU S.R.L		2009-05-01	AYACUCHO	562		
DIRECTV PERU S.R.L		2009-05-01	CAJAMARCA	"2,196"		
DIRECTV PERU S.R.L		2009-05-01	CUSCO	"1,481"		
DIRECTV PERU S.R.L		2009-05-01	HUANCAVELICA	264		
DIRECTV PERU S.R.L		2009-05-01	HUÁNUCO	472		
DIRECTV PERU S.R.L		2009-05-01	ICA	"2,331"		
DIRECTV PERU S.R.L		2009-05-01	JUNÍN	"1,284"		
DIRECTV PERU S.R.L		2009-05-01	LA LIBERTAD	"3,279"		
DIRECTV PERU S.R.L		2009-05-01	LAMBAYEQUE	"1,173"		
DIRECTV PERU S.R.L		2009-05-01	LIMA	"22,249"		
DIRECTV PERU S.R.L		2009-05-01	LORETO	515		
DIRECTV PERU S.R.L		2009-05-01	MADRE DE DIOS	738		
DIRECTV PERU S.R.L		2009-05-01	MOQUEGUA	574		
DIRECTV PERU S.R.L		2009-05-01	PASCO	566		
DIRECTV PERU S.R.L		2009-05-01	PIURA	"2,476"		
DIRECTV PERU S.R.L		2009-05-01	PUNO	"1,267"		
DIRECTV PERU S.R.L		2009-05-01	SAN MARTÍN	739		
DIRECTV PERU S.R.L		2009-05-01	TACNA	702		
DIRECTV PERU S.R.L		2009-05-01	TUMBES	488		
DIRECTV PERU S.R.L		2009-05-01	UCAYALI	"1,016"		
DKR VISION S.R.L.		2009-05-01	AMAZONAS	976		
EMPRESA DE TELECOMUNICACIONES MULTIMEDIA ALFA E.I.R.L.		2009-05-01	LIMA	"3,554"		
EMPRESA DE TV Y RADIODIFUSION BAHIA E.I.R.L.		2009-05-01	ICA	"1,136"		
EMPRESA ROMA E.I.R.L.		2009-05-01	SAN MARTÍN	482		
FRANCISCO HUGO MENA TIPTO		2009-05-01	CUSCO	360		
GENARO CABRERA CABANILLAS		2009-05-01	LA LIBERTAD	623		
HECTOR RUBIO MORI		2009-05-01	CUSCO	170		
HUASCARAN TELECOM S.A.C.		2009-05-01	ANCASH	"1,952"		
IDALIA VÁSQUEZ SÁNCHEZ		2009-05-01	SAN MARTÍN	605		
J&L  TELE CABLE  23  E.I.R.L 		2009-05-01	SAN MARTÍN	260		
J.R. TELECOM S.R.L.		2009-05-01	LIMA	"4,898"		
JAIME JULIO PACHECO MATILDE		2009-05-01	ANCASH	"1,037"		
LEYDI VISIÓN E.I.R.L.		2009-05-01	AMAZONAS	570		
Manuel Torres (Asociación CABLEvisión San Jacinto)		2009-05-01	ANCASH	902		
MULTIVISIÓN S.R.L.		2009-05-01	AREQUIPA	421		
NEDTEL S.R.L.		2009-05-01	LIMA	825		
OMNISAT COMUNICACIONES Y SERVICIOS S.R.L.		2009-05-01	PIURA	254		
OSCAR LUIS GANDULLIA HEREDIA		2009-05-01	MADRE DE DIOS	110		
PATELCOM S.R.L.		2009-05-01	LIMA	562		
QRS TV  E.I.R.L.		2009-05-01	LAMBAYEQUE	"1,020"		
ROSA MARÍA SALDAÑA MÁRQUEZ		2009-05-01	SAN MARTÍN	360		
STAR GLOBAL COM S.A.C.		2009-05-01	AREQUIPA	"8,570"		
STAR GLOBAL COM S.A.C.		2009-05-01	TACNA	"5,784"		
SUPERCABLE TELEVISION S.R.LTDA.		2009-05-01	PIURA	"9,810"		
TELE CABLE MOTUPE S.R.L.		2009-05-01	PIURA	443		
TELECABLE PAITA S.R.L.		2009-05-01	PIURA	"1,860"		
TELECOMUNICACIONES SECHÍN S.A.C.		2009-05-01	LIMA	240		
TELEFÓNICA DEL PERÚ S.A.A.		2009-05-01	ANCASH	531		
TELEFÓNICA DEL PERÚ S.A.A.		2009-05-01	AREQUIPA	"6,521"		
TELEFÓNICA DEL PERÚ S.A.A.		2009-05-01	CUSCO	53		
TELEFÓNICA DEL PERÚ S.A.A.		2009-05-01	ICA	3		
TELEFÓNICA DEL PERÚ S.A.A.		2009-05-01	JUNÍN	400		
TELEFÓNICA DEL PERÚ S.A.A.		2009-05-01	LA LIBERTAD	"3,365"		
TELEFÓNICA DEL PERÚ S.A.A.		2009-05-01	LAMBAYEQUE	"2,700"		
TELEFÓNICA DEL PERÚ S.A.A.		2009-05-01	LIMA	"169,399"		
TELEFÓNICA DEL PERÚ S.A.A.		2009-05-01	LORETO	1		
TELEFÓNICA DEL PERÚ S.A.A.		2009-05-01	PIURA	"1,754"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-05-01	AMAZONAS	674		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-05-01	ANCASH	"8,587"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-05-01	APURÍMAC	596		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-05-01	AREQUIPA	"22,323"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-05-01	AYACUCHO	777		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-05-01	CAJAMARCA	"2,589"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-05-01	CUSCO	"18,035"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-05-01	HUANCAVELICA	135		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-05-01	HUÁNUCO	677		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-05-01	ICA	"3,803"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-05-01	JUNÍN	"7,724"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-05-01	LA LIBERTAD	"24,620"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-05-01	LAMBAYEQUE	"10,037"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-05-01	LIMA	"369,076"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-05-01	LORETO	"1,541"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-05-01	MADRE DE DIOS	788		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-05-01	MOQUEGUA	"1,461"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-05-01	PASCO	727		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-05-01	PIURA	"9,286"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-05-01	PUNO	"1,417"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-05-01	SAN MARTÍN	"1,070"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-05-01	TACNA	"1,850"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-05-01	TUMBES	551		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-05-01	UCAYALI	"1,742"		
TELEMUNDO INTERNACIONAL E.I.R.L.		2009-05-01	LIMA	799		
TELEVISION MINERA S.R.L.		2009-05-01	JUNÍN	400		
TELEVISION SATELITAL CONCEPCION S.R.L.		2009-05-01	JUNÍN	224		
TELMEX PERÚ S.A.		2009-05-01	AMAZONAS	3		
TELMEX PERÚ S.A.		2009-05-01	ANCASH	168		
TELMEX PERÚ S.A.		2009-05-01	APURÍMAC	3		
TELMEX PERÚ S.A.		2009-05-01	AREQUIPA	"3,755"		
TELMEX PERÚ S.A.		2009-05-01	CAJAMARCA	7		
TELMEX PERÚ S.A.		2009-05-01	CUSCO	619		
TELMEX PERÚ S.A.		2009-05-01	HUANCAVELICA	580		
TELMEX PERÚ S.A.		2009-05-01	HUÁNUCO	12		
TELMEX PERÚ S.A.		2009-05-01	ICA	"2,231"		
TELMEX PERÚ S.A.		2009-05-01	JUNÍN	"3,491"		
TELMEX PERÚ S.A.		2009-05-01	LA LIBERTAD	867		
TELMEX PERÚ S.A.		2009-05-01	LAMBAYEQUE	"6,587"		
TELMEX PERÚ S.A.		2009-05-01	LIMA	"48,525"		
TELMEX PERÚ S.A.		2009-05-01	LORETO	926		
TELMEX PERÚ S.A.		2009-05-01	PASCO	47		
TELMEX PERÚ S.A.		2009-05-01	PIURA	"1,297"		
TELMEX PERÚ S.A.		2009-05-01	PUNO	541		
TELMEX PERÚ S.A.		2009-05-01	SAN MARTÍN	2		
TELMEX PERÚ S.A.		2009-05-01	TUMBES	1		
TELMEX PERÚ S.A.		2009-05-01	UCAYALI	"1,181"		
TODO TV VILLA RICA S.R.L		2009-05-01	PASCO	196		
TV - CABLE - CATACAOS E.I.R.L.		2009-05-01	PIURA	630		
TV CABLE DEL NORTE  S.R.L.		2009-05-01	LIMA	699		
TV. CABLE Y TELECOMUNICACIONES S.A.C.		2009-05-01	JUNÍN	442		
VIP CHANNEL S.A.C.		2009-05-01	LIMA	"2,717"		
VIVIANA MARINA RODRÍGUEZ VIENA		2009-05-01	LORETO	240		
A & P SERVITEL S.A.C.		2009-06-01	LIMA	69		
AMAZONIA T.V. S.R.LTDA		2009-06-01	SAN MARTÍN	948		
ANDRES CULQUI CULQUI		2009-06-01	SAN MARTÍN	400		
ANIBAL ESTRELLA CARTAGENA		2009-06-01	SAN MARTÍN	481		
ANTENAS CABLE VISIÓN SATELITE S.A. 		2009-06-01	LIMA	"6,277"		
ASELEC INGENIEROS SRL		2009-06-01	LIMA	765		
AUREA VIVIANA CIRIACO CABRERA (ELVI TELEVISIÓN)		2009-06-01	LA LIBERTAD	499		
BASILES AREVALO FLORES		2009-06-01	SAN MARTÍN	155		
BENJAMÍN SEGUNDO CARDENAS SALDAÑA 		2009-06-01	LIMA	893		
CABLE AMÉRICA S.A		2009-06-01	LIMA	"3,347"		
CABLE CLUB S.R.L.		2009-06-01	MOQUEGUA	"1,163"		
CABLE CLUB S.R.L.		2009-06-01	TACNA	167		
CABLE JAEN S.R.L.		2009-06-01	CAJAMARCA	"2,113"		
CABLE MAX S.A.C		2009-06-01	LIMA	171		
CABLE PLUS S.A.C.		2009-06-01	LIMA	"1,981"		
CABLE SISTEMAS S.R.L.		2009-06-01	APURÍMAC	587		
CABLE VIDEO PERÚ S.A.C.		2009-06-01	LIMA	"7,147"		
CABLE VIRTUAL S.A.C.		2009-06-01	LIMA	330		
CABLE VISIÓN CÁRDENAS E.I.R.L		2009-06-01	SAN MARTÍN	526		
CABLE VISIÓN CHACHAPOYAS E.I.R.L		2009-06-01	AMAZONAS	"1,466"		
CABLE VISION CHEPEN SAC		2009-06-01	LA LIBERTAD	991		
CABLE VISIÓN DEL CENTRO S.R.L.		2009-06-01	AYACUCHO	"2,147"		
CABLE VISIÓN DEL CENTRO S.R.L.		2009-06-01	LA LIBERTAD	"1,291"		
CABLE VISIÓN DEL NORTE S.A.C.		2009-06-01	LA LIBERTAD	"2,168"		
CABLE VISIÓN DEL NORTE S.A.C.		2009-06-01	LAMBAYEQUE	518		
CABLE VISION HUANUCO S.A.C. 		2009-06-01	HUÁNUCO	"3,565"		
CABLE VISION HUANUCO S.A.C. 		2009-06-01	JUNÍN	862		
CABLE Visión Ica		2009-06-01	ICA	"5,607"		
CABLE VISION IQUITOS S.A.C.		2009-06-01	LORETO	"5,278"		
CABLE VISION TUMBES S.A.C		2009-06-01	TUMBES	"2,056"		
CABLE VISION ZARUMILLA S.A.C.		2009-06-01	TUMBES	"2,097"		
CABLE YURIMAGUAS S.R.L.		2009-06-01	LORETO	"2,120"		
CABLE ZOFRI S.R.L.		2009-06-01	AREQUIPA	"1,310"		
CABLE ZOFRI S.R.L.		2009-06-01	MOQUEGUA	"2,218"		
CABLEMAX E.I.R.L		2009-06-01	PIURA	"1,281"		
CATV SYSTEMS E.I.R.L.		2009-06-01	LIMA	"24,647"		
CENTRAL DE COMUNICACIONES PACHACAMAC S.A.C.		2009-06-01	LIMA	287		
CÉSAR HUMBERTO MINAYA VELÁSQUEZ (T.V CABLE SAYAN)		2009-06-01	LIMA	598		
CHAVEZ SUING ROLANDO AZEN		2009-06-01	LA LIBERTAD	293		
CJG CABLE S.R.L.		2009-06-01	PASCO	753		
COMUNICACIONES PORCÓN S.A.C.		2009-06-01	CAJAMARCA	"2,795"		
CORPORACION PERUANA DE IMAGEN SATELITAL S.R.L.		2009-06-01	LIMA	"1,404"		
DANTE DANIEL DE LA CRUZ CASTRO		2009-06-01	LIMA	452		
DIRECTV PERU S.R.L		2009-06-01	AMAZONAS	307		
DIRECTV PERU S.R.L		2009-06-01	ANCASH	"1,082"		
DIRECTV PERU S.R.L		2009-06-01	APURÍMAC	220		
DIRECTV PERU S.R.L		2009-06-01	AREQUIPA	"3,713"		
DIRECTV PERU S.R.L		2009-06-01	AYACUCHO	566		
DIRECTV PERU S.R.L		2009-06-01	CAJAMARCA	"2,210"		
DIRECTV PERU S.R.L		2009-06-01	CUSCO	"1,499"		
DIRECTV PERU S.R.L		2009-06-01	HUANCAVELICA	257		
DIRECTV PERU S.R.L		2009-06-01	HUÁNUCO	491		
DIRECTV PERU S.R.L		2009-06-01	ICA	"2,328"		
DIRECTV PERU S.R.L		2009-06-01	JUNÍN	"1,298"		
DIRECTV PERU S.R.L		2009-06-01	LA LIBERTAD	"3,303"		
DIRECTV PERU S.R.L		2009-06-01	LAMBAYEQUE	"1,178"		
DIRECTV PERU S.R.L		2009-06-01	LIMA	"22,678"		
DIRECTV PERU S.R.L		2009-06-01	LORETO	525		
DIRECTV PERU S.R.L		2009-06-01	MADRE DE DIOS	803		
DIRECTV PERU S.R.L		2009-06-01	MOQUEGUA	569		
DIRECTV PERU S.R.L		2009-06-01	PASCO	554		
DIRECTV PERU S.R.L		2009-06-01	PIURA	"2,471"		
DIRECTV PERU S.R.L		2009-06-01	PUNO	"1,268"		
DIRECTV PERU S.R.L		2009-06-01	SAN MARTÍN	752		
DIRECTV PERU S.R.L		2009-06-01	TACNA	705		
DIRECTV PERU S.R.L		2009-06-01	TUMBES	491		
DIRECTV PERU S.R.L		2009-06-01	UCAYALI	"1,019"		
DKR VISION S.R.L.		2009-06-01	AMAZONAS	966		
EMPRESA DE TELECOMUNICACIONES MULTIMEDIA ALFA E.I.R.L.		2009-06-01	LIMA	"3,646"		
EMPRESA DE TV Y RADIODIFUSION BAHIA E.I.R.L.		2009-06-01	ICA	"1,200"		
EMPRESA ROMA E.I.R.L.		2009-06-01	SAN MARTÍN	520		
FRANCISCO HUGO MENA TIPTO		2009-06-01	CUSCO	365		
GENARO CABRERA CABANILLAS		2009-06-01	LA LIBERTAD	627		
HECTOR RUBIO MORI		2009-06-01	CUSCO	172		
HUASCARAN TELECOM S.A.C.		2009-06-01	ANCASH	"1,901"		
IDALIA VÁSQUEZ SÁNCHEZ		2009-06-01	SAN MARTÍN	645		
J&L  TELE CABLE  23  E.I.R.L 		2009-06-01	SAN MARTÍN	258		
J.R. TELECOM S.R.L.		2009-06-01	LIMA	"4,918"		
JAIME JULIO PACHECO MATILDE		2009-06-01	ANCASH	"1,049"		
LEYDI VISIÓN E.I.R.L.		2009-06-01	AMAZONAS	605		
Manuel Torres (Asociación CABLEvisión San Jacinto)		2009-06-01	ANCASH	902		
MULTIVISIÓN S.R.L.		2009-06-01	AREQUIPA	414		
NEDTEL S.R.L.		2009-06-01	LIMA	823		
OMNISAT COMUNICACIONES Y SERVICIOS S.R.L.		2009-06-01	PIURA	258		
OSCAR LUIS GANDULLIA HEREDIA		2009-06-01	MADRE DE DIOS	79		
PATELCOM S.R.L.		2009-06-01	LIMA	558		
QRS TV  E.I.R.L.		2009-06-01	LAMBAYEQUE	"1,035"		
ROSA MARÍA SALDAÑA MÁRQUEZ		2009-06-01	SAN MARTÍN	370		
STAR GLOBAL COM S.A.C.		2009-06-01	AREQUIPA	"8,683"		
STAR GLOBAL COM S.A.C.		2009-06-01	TACNA	"5,828"		
SUPERCABLE TELEVISION S.R.LTDA.		2009-06-01	PIURA	"9,989"		
TELE CABLE MOTUPE S.R.L.		2009-06-01	PIURA	486		
TELECABLE PAITA S.R.L.		2009-06-01	PIURA	"1,900"		
TELECOMUNICACIONES SECHÍN S.A.C.		2009-06-01	LIMA	280		
TELEFÓNICA DEL PERÚ S.A.A.		2009-06-01	ANCASH	526		
TELEFÓNICA DEL PERÚ S.A.A.		2009-06-01	AREQUIPA	"6,710"		
TELEFÓNICA DEL PERÚ S.A.A.		2009-06-01	CUSCO	54		
TELEFÓNICA DEL PERÚ S.A.A.		2009-06-01	ICA	3		
TELEFÓNICA DEL PERÚ S.A.A.		2009-06-01	JUNÍN	398		
TELEFÓNICA DEL PERÚ S.A.A.		2009-06-01	LA LIBERTAD	"3,398"		
TELEFÓNICA DEL PERÚ S.A.A.		2009-06-01	LAMBAYEQUE	"2,748"		
TELEFÓNICA DEL PERÚ S.A.A.		2009-06-01	LIMA	"174,533"		
TELEFÓNICA DEL PERÚ S.A.A.		2009-06-01	LORETO	1		
TELEFÓNICA DEL PERÚ S.A.A.		2009-06-01	PIURA	"1,852"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-06-01	AMAZONAS	671		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-06-01	ANCASH	"8,689"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-06-01	APURÍMAC	597		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-06-01	AREQUIPA	"22,391"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-06-01	AYACUCHO	815		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-06-01	CAJAMARCA	"2,446"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-06-01	CUSCO	"18,019"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-06-01	HUANCAVELICA	135		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-06-01	HUÁNUCO	705		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-06-01	ICA	"3,810"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-06-01	JUNÍN	"7,832"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-06-01	LA LIBERTAD	"24,748"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-06-01	LAMBAYEQUE	"10,020"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-06-01	LIMA	"370,149"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-06-01	LORETO	"1,484"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-06-01	MADRE DE DIOS	806		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-06-01	MOQUEGUA	"1,450"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-06-01	PASCO	788		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-06-01	PIURA	"8,868"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-06-01	PUNO	"1,439"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-06-01	SAN MARTÍN	"1,088"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-06-01	TACNA	"1,845"		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-06-01	TUMBES	539		
TELEFÓNICA MULTIMEDIA S.A.C.		2009-06-01	UCAYALI	"1,710"		
TELEMUNDO INTERNACIONAL E.I.R.L.		2009-06-01	LIMA	821		
TELEVISION MINERA S.R.L.		2009-06-01	JUNÍN	400		
TELEVISION SATELITAL CONCEPCION S.R.L.		2009-06-01	JUNÍN	227		
TELMEX PERÚ S.A.		2009-06-01	AMAZONAS	3		
TELMEX PERÚ S.A.		2009-06-01	ANCASH	299		
TELMEX PERÚ S.A.		2009-06-01	APURÍMAC	3		
TELMEX PERÚ S.A.		2009-06-01	AREQUIPA	"4,464"		
TELMEX PERÚ S.A.		2009-06-01	CAJAMARCA	115		
TELMEX PERÚ S.A.		2009-06-01	CUSCO	912		
TELMEX PERÚ S.A.		2009-06-01	HUANCAVELICA	730		
TELMEX PERÚ S.A.		2009-06-01	HUÁNUCO	12		
TELMEX PERÚ S.A.		2009-06-01	ICA	"2,640"		
TELMEX PERÚ S.A.		2009-06-01	JUNÍN	"4,278"		
TELMEX PERÚ S.A.		2009-06-01	LA LIBERTAD	"1,200"		
TELMEX PERÚ S.A.		2009-06-01	LAMBAYEQUE	"6,995"		
TELMEX PERÚ S.A.		2009-06-01	LIMA	"52,794"		
TELMEX PERÚ S.A.		2009-06-01	LORETO	"1,151"		
TELMEX PERÚ S.A.		2009-06-01	PASCO	47		
TELMEX PERÚ S.A.		2009-06-01	PIURA	"1,890"		
TELMEX PERÚ S.A.		2009-06-01	PUNO	757		
TELMEX PERÚ S.A.		2009-06-01	SAN MARTÍN	2		
TELMEX PERÚ S.A.		2009-06-01	TUMBES	1		
TELMEX PERÚ S.A.		2009-06-01	UCAYALI	"1,507"		
TODO TV VILLA RICA S.R.L		2009-06-01	PASCO	209		
TV - CABLE - CATACAOS E.I.R.L.		2009-06-01	PIURA	625		
TV CABLE DEL NORTE  S.R.L.		2009-06-01	LIMA	706		
TV. CABLE Y TELECOMUNICACIONES S.A.C.		2009-06-01	JUNÍN	402		
VIP CHANNEL S.A.C.		2009-06-01	LIMA	"2,720"		
VIVIANA MARINA RODRÍGUEZ VIENA		2009-06-01	LORETO	210		
A & P SERVITEL S.A.C.		2009-07-01	LIMA	80		
ANDRES CULQUI CULQUI		2009-07-01	SAN MARTÍN	400		
ANIBAL ESTRELLA CARTAGENA		2009-07-01	SAN MARTÍN	482		
ANTENAS CABLE VISIÓN SATELITE S.A. 		2009-07-01	LIMA	"6,491"		
ASELEC INGENIEROS SRL		2009-07-01	LIMA	740		
AUREA VIVIANA CIRIACO CABRERA (ELVI TELEVISIÓN)		2009-07-01	LA LIBERTAD	499		
BASILES AREVALO FLORES		2009-07-01	SAN MARTÍN	155		
